,aweme_id,like_num,comment_num,download_num,share_num,collect_num
202,7098615731977243908,-1,-1,-1,-1,-1
203,7350215302543691046,394,9,2,33,26
204,7128567879418613032,424,186,2,10,21
205,7329817605764549925,60632,23044,11,2506,1051
206,7357709640395787555,17078,6822,264,5940,3441
207,7301846008647011635,42662,19176,180,4451,2102
208,6985907477585988894,46,15,11,53,23
209,6985907477585988894,46,15,11,53,23
210,7001410709053574407,53,7,0,16,12
211,7240683766316928315,76282,2666,0,7955,1680
212,6771608810676161800,808,438,61,114,25
213,7002884062050258190,-1,-1,-1,-1,-1
214,6816991832967286019,-1,-1,-1,-1,-1
215,7248421035844865313,5193,1871,156,1379,533
216,7315608550540102953,6,1,0,4,3
217,6863621499690044687,1663,165,13,22,6
218,7251555314611391756,-1,-1,-1,-1,-1
219,7095465461730512159,-1,-1,-1,-1,-1
220,6900376866432011532,-1,-1,-1,-1,-1
221,7298678623161077007,4026,198,100,661,748
222,6983663679250238727,93,15,9,11,5
223,6956849244514897160,145,71,10,15,13
224,7241800093106490628,9,2,1,3,0
225,7358314271215766836,486,177,2,18,44
226,7238263834547490106,-1,-1,-1,-1,-1
227,6682003172736765187,-1,-1,-1,-1,-1
228,7330585946812878132,4443,584,2,176,187
229,7143418529700760839,432,99,42,74,25
230,7125674372454485259,1089,373,0,81,31
231,6988670538679913742,-1,-1,-1,-1,-1
232,7332464555806772515,12,3,0,0,0
233,6966790904283696387,-1,-1,-1,-1,-1
234,6988670538679913742,-1,-1,-1,-1,-1
235,7275916790918647100,164724,5367,241,10715,6847
236,6953941816517414159,255,18,25,51,40
237,7337159691358817573,-1,-1,-1,-1,-1
238,6858106166958902543,-1,-1,-1,-1,-1
239,6942450980931882243,-1,-1,-1,-1,-1
240,7015170120121060644,-1,-1,-1,-1,-1
241,7080526040447143209,39,8,0,2,4
242,7003947094331477256,-1,-1,-1,-1,-1
243,6859555709504294156,48,1,14,10,7
244,7298950866923572515,18,4,0,2,3
245,7327123259147717925,66324,22929,40,3741,1565
246,6992102772984401163,-1,-1,-1,-1,-1
247,6827268227937193227,-1,-1,-1,-1,-1
248,7301571526619303218,16330,2537,62,3161,633
249,7077800883454512396,-1,-1,-1,-1,-1
250,7266612889505565993,-1,-1,-1,-1,-1
251,7037055312095874343,-1,-1,-1,-1,-1
252,7349927300357508393,480,8,3,49,63
253,7122434739100798219,-1,-1,-1,-1,-1
254,7289636845804195087,84,7,9,21,14
255,7083319286105771268,200,23,0,7,8
256,7332596827264404745,1438,79,0,70,29
257,7358451072907709750,69,12,2,16,20
258,7039978526195354913,-1,-1,-1,-1,-1
259,7359022087056461097,84,5,0,1,6
260,7111351338063170852,-1,-1,-1,-1,-1
261,7353625002320710962,1038,12,4,29,143
262,6849206030371409160,39,2,9,76,13
263,7311738477031279926,-1,-1,-1,-1,-1
264,6962821082701221131,-1,-1,-1,-1,-1
265,6986902753276710157,-1,-1,-1,-1,-1
266,7221470403552709922,-1,-1,-1,-1,-1
267,7258548834031242557,1181,183,0,11,21
268,7002980118679309609,-1,-1,-1,-1,-1
269,7004778377856945422,-1,-1,-1,-1,-1
270,7111351338063170852,-1,-1,-1,-1,-1
271,7219326603426417972,-1,-1,-1,-1,-1
272,7114575868097219848,-1,-1,-1,-1,-1
273,7221913805410946365,294,0,3,10,29
274,7119419613909224716,-1,-1,-1,-1,-1
275,6841468131647474947,-1,-1,-1,-1,-1
276,7037434799199423775,-1,-1,-1,-1,-1
277,7044779058709695758,-1,-1,-1,-1,-1
278,7219180034337099019,-1,-1,-1,-1,-1
279,6973619913374174495,-1,-1,-1,-1,-1
280,7296317752778722570,1190,120,1,64,88
281,7100555549049163008,-1,-1,-1,-1,-1
282,6954988197294247205,-1,-1,-1,-1,-1
283,7321729278352149787,19,0,0,0,7
284,6990584248541498665,-1,-1,-1,-1,-1
285,7088618351601274149,-1,-1,-1,-1,-1
286,6751341978291539211,-1,-1,-1,-1,-1
287,7266520813531155752,-1,-1,-1,-1,-1
288,7301965626002771219,1558,270,12,73,92
289,7069704006347640096,293,31,0,43,13
290,7002792122822741263,656,68,3,5,4
