,aweme_id,title,address,like_num,comment_num,download_num,share_num,collect_num
10,7357268954999508260,我大广东，中山大学破格录取条件，冲#知识改变命运 #数学 #高考 #中山大学 #新高考,http://v26-web.douyinvod.com/00dd893e4197345027be1422208bd5a1/661bb045/video/tos/cn/tos-cn-ve-15c001-alinc2/owkATGgQUeRUABNDymCu9CgFODQebA0nI0mwSQ/?a=6383&ch=11&cr=3&dr=0&lr=all&cd=0%7C0%7C0%7C3&cv=1&br=3020&bt=3020&cs=0&ds=4&ft=LjhJEL998xl8uEem_0P5fQhlpPiXsq23xVJEa-72RCPD-Ipz&mime_type=video_mp4&qs=0&rc=aTY3Ojk1ZzdnNmhlNjRkNEBpM3Q3NTQ6ZmU3cjMzNGkzM0AzXi4vNF5hNi0xYy9iMGFgYSMyZWMycjRnNGFgLS1kLWFzcw%3D%3D&btag=e00008000&cquery=100z_100o_101n_100B_100x&dy_q=1713087023&feature_id=46a7bb47b4fd1280f3d3825bf2b29388&l=20240414173022CE94B0140AEA25FCF1CB,16976,2008,69,8927,1105
11,7145108447611079950,"9月18日，中山大学开学典礼上，校园歌手大赛获奖学生和艺术学院师生，汇聚活力与朝气，带来歌曲串烧《星辰大海》《红日》《如愿》《夜空中最亮的星》《领航》，唱响青春与梦想的乐章！
#中山大学#中山大学开学典礼 ",http://v26-web.douyinvod.com/75b8220cc5eb1309d12edfb40c585f88/661bb247/video/tos/cn/tos-cn-ve-15c001-alinc2/22e2f3f736a54a3cadff3c66ab6c5f68/?a=6383&ch=11&cr=3&dr=0&lr=all&cd=0%7C0%7C0%7C3&cv=1&br=4045&bt=4045&cs=0&ds=4&ft=LjhJEL998xl8uEem_0P5fQhlpPiXsq23xVJEa-72RCPD-Ipz&mime_type=video_mp4&qs=0&rc=OTZnZjo7NzNlZTc8OWU2NUBpamVqbjs6ZnI7ZjMzNGkzM0BjLy80NjFgXjAxYDItYjIwYSNzcWZkcjQwLmhgLS1kLS9zcw%3D%3D&btag=e00030000&cquery=101n_100B_100H_100K_100o&dy_q=1713087023&l=20240414173022CE94B0140AEA25FCF1CB,111641,5895,1,16981,12296
12,7113153776491449615,哥们哥们上大学吗#哥们上过大学吗 #广东高考 #中山大学 ,http://v26-web.douyinvod.com/889b11a2028af5a59dc8e1528594e4cc/661bb05c/video/tos/cn/tos-cn-ve-15c001-alinc2/6f46eb5a098445d2b3cba30136351245/?a=6383&ch=11&cr=3&dr=0&lr=all&cd=0%7C0%7C0%7C3&cv=1&br=2047&bt=2047&cs=0&ds=4&ft=LjhJEL998xl8uEem_0P5fQhlpPiXsq23xVJEa-72RCPD-Ipz&mime_type=video_mp4&qs=0&rc=aWYzOjY2ZDg8ZTk1NTNpZ0BpM3Fsajk6ZjxpZDMzNGkzM0AxXjFfLmBeXjYxMF4tXjRhYSNnY3A2cjQwcm9gLS1kLWFzcw%3D%3D&btag=e00018000&cquery=100B_100x_102u_100o_101n&dy_q=1713087023&l=20240414173022CE94B0140AEA25FCF1CB,9328,1136,148,868,268
13,7219577281767935292,广东最好的大学，国立中山大学，学子们最爱的大学#航拍 #中山大学 #校园 #马克龙到访中山大学 #最美大学,http://v26-web.douyinvod.com/249ae9ce14b77fbac5a5be9df95579a4/661bb092/video/tos/cn/tos-cn-ve-15c001-alinc2/ogBkUmzLIfAtEGBG6QhCcNA0AFIcNeWxyPd8gU/?a=6383&ch=11&cr=3&dr=0&lr=all&cd=0%7C0%7C0%7C3&cv=1&br=5134&bt=5134&cs=0&ds=4&ft=LjhJEL998xl8uEem_0P5fQhlpPiXsq23xVJEa-72RCPD-Ipz&mime_type=video_mp4&qs=0&rc=OWVlZTozNjs1Z2Y7NjszOkBpM250bTg6ZjhrajMzNGkzM0AtXjBfNjZgXl4xYTYuXi01YSNxNW4tcjRnYWxgLS1kLS9zcw%3D%3D&btag=e00028000&cquery=101n_100B_100x_100z_100o&dy_q=1713087023&feature_id=f0150a16a324336cda5d6dd0b69ed299&l=20240414173022CE94B0140AEA25FCF1CB,16972,2395,646,2209,1897
14,7313143456866536744,200万人看过的我在中山大学翻跳冬日完整版来啦!#冬日 #鞠婧祎 #女大学生 #校园舞蹈 #舞蹈,http://v26-web.douyinvod.com/beb748e15efc02c5b8e38c7eafeaf92f/661bb126/video/tos/cn/tos-cn-ve-15/o8ZPIuf9PACQLzZ9AQzAECvKeWyggBNAKshGtc/?a=6383&ch=11&cr=3&dr=0&lr=all&cd=0%7C0%7C0%7C3&cv=1&br=362&bt=362&cs=0&ds=3&ft=LjhJEL998xl8uEem_0P5fQhlpPiXsq23xVJEa-72RCPD-Ipz&mime_type=video_mp4&qs=0&rc=ZTNmZ2g1ZjY4Nmg4ZWc7aUBpM21yM2Q6ZjtybzMzNGkzM0AzMmEuLmNiXjExMl5hMTQyYSNrcy1fcjRfL3JgLS1kLS9zcw%3D%3D&btag=e00028000&cquery=100x_100z_100o_101n_100B&dy_q=1713087023&feature_id=f0150a16a324336cda5d6dd0b69ed299&l=20240414173022CE94B0140AEA25FCF1CB,2215641,48338,1933,281114,162091
15,7356892790191623435,中山大学终于对外开放参观啦‼️答应我，参观前要先看完这篇攻略再去哦😉#dou上热门 #周末去哪儿 #遛娃好去处 #广州景点推荐 #亲子游玩好去处 @DOU+小助手 @DOU+上热门,http://v26-web.douyinvod.com/ce5c173b2e891ffe8fff75718ea25fd0/661bb0e3/video/tos/cn/tos-cn-ve-15/oEIQNI3ygA5SAxN99eb8OmnBekGXsDABCScOhy/?a=6383&ch=11&cr=3&dr=0&lr=all&cd=0%7C0%7C0%7C3&cv=1&br=2502&bt=2502&cs=0&ds=3&ft=LjhJEL998xl8uEem_0P5fQhlpPiXsq23xVJEa-72RCPD-Ipz&mime_type=video_mp4&qs=1&rc=Ozk8Omg4NTMzM2UzNDNlO0BpM3hyaTk6Zm1ocjMzNGkzM0BiYWI2YWE2XzExLmBeMjNgYSNvLmVwcjRncGBgLS1kLWFzcw%3D%3D&btag=e00028000&cquery=100x_100z_100o_101n_100B&dy_q=1713087023&feature_id=46a7bb47b4fd1280f3d3825bf2b29388&l=20240414173022CE94B0140AEA25FCF1CB,6,4,0,0,1
16,7343168008203832611,去南校测中送样随拍的，之前还没入学的时候，去食堂吃饭，我就觉得怎么都长得这么好看还学习这么好😂#读博的日子 #生活碎片记录 #研究生日常,http://v26-web.douyinvod.com/00abe96f2f2b1db16ab4cfd55919eb16/661bb048/video/tos/cn/tos-cn-ve-15c001-alinc2/ooDBXA0ufYQMeDEwgu8bEIAZbgJ3fCILsDnfHe/?a=6383&ch=11&cr=3&dr=0&lr=all&cd=0%7C0%7C0%7C3&br=3506&bt=3506&cs=0&ds=3&ft=LjhJEL998xl8uEem_0P5fQhlpPiXsq23xVJEa-72RCPD-Ipz&mime_type=video_mp4&qs=0&rc=ZTVoZDc7OzNoaDo1ZWVkNUBpM3V1cmk6ZnlxcjMzNGkzM0AxNS4uXzUtXzIxYmA1LzEwYSMuNWNmcjRnc19gLS1kLTBzcw%3D%3D&btag=e00008000&cquery=100o_101n_100B_100x_100z&dy_q=1713087023&feature_id=f0150a16a324336cda5d6dd0b69ed299&l=20240414173022CE94B0140AEA25FCF1CB,59155,2092,72,3302,2679
17,7356918503963741466,中山大学的大模型靠讲笑话入选CVPR.... #人工智能  #中山大学 #大模型,http://v26-web.douyinvod.com/41f5d8c0a0e23173b6dc6cb0567bfcb7/661bb09a/video/tos/cn/tos-cn-ve-15/oIeWwEPmGABJAe6QDNQQU9WBDtZbEat3Ay3gIn/?a=6383&ch=11&cr=3&dr=0&lr=all&cd=0%7C0%7C0%7C3&cv=1&br=437&bt=437&cs=0&ds=4&ft=LjhJEL998xl8uEem_0P5fQhlpPiXsq23xVJEa-72RCPD-Ipz&mime_type=video_mp4&qs=0&rc=ZzdlPDloaTpnOzYzOjk7ZEBpanh0bDk6ZmhqcjMzNGkzM0A1YDVgYl5fXzExYF5fMC9hYSNvNi9wcjRnX2BgLS1kLTBzcw%3D%3D&btag=e00028000&cquery=100H_100K_100o_101n_100B&dy_q=1713087023&feature_id=46a7bb47b4fd1280f3d3825bf2b29388&l=20240414173022CE94B0140AEA25FCF1CB,424,19,0,89,81
18,7347195776096800036,中山大学南校区的午餐时光，好年轻好快乐！#校园生活 #日常vlog #中山大学 #大学食堂 #钢琴,http://v26-web.douyinvod.com/62340eaa6433bcfa2d7a309b9775fd36/661bb04d/video/tos/cn/tos-cn-ve-15/oQnA2wz3fEiqep2509qwABVARLpIENQtglz0gh/?a=6383&ch=11&cr=3&dr=0&lr=all&cd=0%7C0%7C0%7C3&cv=1&br=2717&bt=2717&cs=0&ds=4&ft=LjhJEL998xl8uEem_0P5fQhlpPiXsq23xVJEa-72RCPD-Ipz&mime_type=video_mp4&qs=0&rc=ZjQ7aTg3OGU1aDM1OGVlPEBpMzU4d2U6Zm86cTMzNGkzM0BfYjViNi4wXjYxMzYvLjEzYSNsXzI1cjRfam9gLS1kLWFzcw%3D%3D&btag=e00010000&cquery=101n_100B_100x_100z_100o&dy_q=1713087023&feature_id=46a7bb47b4fd1280f3d3825bf2b29388&l=20240414173022CE94B0140AEA25FCF1CB,16680,805,51,3170,1027
19,7116317161412365575,中山大学教授诱骗女生初夜，大尺度聊天内容曝光，学校展开调查,http://v26-web.douyinvod.com/0872e644eaa71f2b3158a4a3086458cc/661bb06d/video/tos/cn/tos-cn-ve-15c001-alinc2/6a31eef03bed4bb6ba0b88ec0399eb4d/?a=6383&ch=11&cr=3&dr=0&lr=all&cd=0%7C0%7C0%7C3&cv=1&br=471&bt=471&cs=0&ds=3&ft=LjhJEL998xl8uEem_0P5fQhlpPiXsq23xVJEa-72RCPD-Ipz&mime_type=video_mp4&qs=0&rc=N2dnaDo7NmQ5aTpoZDs8NkBpMzY7NTc6ZnA2ZTMzNGkzM0AvYV4yLWE1X2AxLzJjNTQyYSNoY2VecjRvbS5gLS1kLS9zcw%3D%3D&btag=e00020000&cquery=100D_102u_100o_101n_100B&dy_q=1713087023&l=20240414173022CE94B0140AEA25FCF1CB,333,36,23,277,49
